date,description,net_amount,vat_amount,category
02/01/2026,Project - Contract Mandays (supplier controlled),49545.45,0.0,PROJECT Mandays Supp
02/01/2026,Project - Contract Mandays (supplier controlled),25894.29,0.0,PROJECT Mandays Supp
02/01/2026,Project - Contract Mandays (supplier controlled),275485.22,0.0,PROJECT Mandays Supp
02/01/2026,Project - Contract Mandays (supplier controlled),79796.25,0.0,PROJECT Mandays Supp
02/01/2026,Project - Contract Mandays (supplier controlled),51275.63,0.0,PROJECT Mandays Supp
02/01/2026,Project - Contract Mandays (supplier controlled),22433.09,0.0,PROJECT Mandays Supp
02/01/2026,Project - Contract Mandays (supplier controlled),21115.9,0.0,PROJECT Mandays Supp
02/01/2026,Project - Contract Mandays (supplier controlled),22433.08,0.0,PROJECT Mandays Supp
02/01/2026,Project - Contract Mandays (supplier controlled),79796.25,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),21115.9,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),132679.38,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),129404.13,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),29882.5,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),26280.0,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),8151.98,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),709.18,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),82679.06,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),70700.0,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),82679.07,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),106888.11,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),87138.0,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),99864.75,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),84296.25,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),28098.75,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),62307.0,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),94704.0,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),31568.0,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),62307.0,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),106888.11,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),22992.5,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),105351.78,0.0,PROJECT Mandays Supp
05/01/2026,Project - Contract Mandays (supplier controlled),12498.06,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),2836.71,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),13038.26,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),28965.87,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),34837.5,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),226824.75,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),89181.82,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),54215.0,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),2831.18,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),253423.91,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),6506.85,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),15312.94,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),13718.61,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),8045.78,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),127170.07,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),27739.93,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),26982.5,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),171761.3,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),20925.12,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),194370.47,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),360678.0,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),454596.67,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),294301.84,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),176360.1,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),240820.21,0.0,PROJECT Mandays Supp
06/01/2026,Contractor Service,642305.0,0.0,Contin Labor Build
06/01/2026,Contractor Service,506070.0,0.0,Contin Labor Build
06/01/2026,Contractor Service,982153.0,0.0,Contin Labor Build
06/01/2026,Contractor Service,29091.86,0.0,Contin Labor Build
06/01/2026,Project - Contract Mandays (supplier controlled),37675.1,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),22191.81,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),22928.12,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),599218.86,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),618843.57,0.0,PROJECT Mandays Supp
06/01/2026,Contractor Service,40000.0,0.0,Contin Labor Build
06/01/2026,Contractor Service,40000.0,0.0,Contin Labor Build
06/01/2026,Project - Contract Mandays (supplier controlled),58005.0,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),71615.0,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),374287.0,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),660558.1,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),572362.4,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),219.07,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),858.0,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),89874.24,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),24351.0,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),29000.0,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),55827.22,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),143802.01,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),23296.0,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),53899.0,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),26888.44,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),69236.72,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),34618.36,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),13087.37,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),2836.71,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),107.14,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),122697.14,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),11701.43,0.0,PROJECT Mandays Supp
06/01/2026,Project - Contract Mandays (supplier controlled),19888.87,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),2127.53,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),6382.6,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),66187.5,0.0,PROJECT Mandays Supp
07/01/2026,System Management Software Maintenance,79543.75,0.0,Sys Software Maint
07/01/2026,System Management Software Maintenance,197606.25,0.0,Sys Software Maint
07/01/2026,Project - Contract Mandays (supplier controlled),100000.0,0.0,PROJECT Mandays Supp
07/01/2026,Projects,282535.06,0.0,Projects
07/01/2026,Projects,1461290.53,0.0,Projects
07/01/2026,Rent (Irrecoverable VAT),74400.0,0.0,Rent (Irrec VAT)
07/01/2026,Contracted Services,1211398.4,0.0,Contracted Services
07/01/2026,Electricity,139243.15,0.0,Electricity
07/01/2026,Software Licences - off the shelf & not integral to IT Infrastructure,418682.41,0.0,Soft Licen Off shelf
07/01/2026,Software Licences - off the shelf & not integral to IT Infrastructure,3857947.69,0.0,Soft Licen Off shelf
07/01/2026,Software Licences - off the shelf & not integral to IT Infrastructure,1130139.78,0.0,Soft Licen Off shelf
07/01/2026,Software Licences - off the shelf & not integral to IT Infrastructure,58726.6,0.0,Soft Licen Off shelf
07/01/2026,Professional membership,558.0,0.0,Prof membership
07/01/2026,Professional membership,34261.5,0.0,Prof membership
07/01/2026,Fast Stream VAT Exempt,287131.68,0.0,Fast Strm VAT Exmpt
07/01/2026,Project - Contract Mandays (supplier controlled),50050.0,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),1304320.08,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),39400.72,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),55113.31,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),49495.84,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),23953.1,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),56731.5,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (HMRC controlled),39960.0,0.0,PROJECT Mandays HMRC
07/01/2026,Project - Contract Mandays (supplier controlled),409855.27,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),48915.68,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),57262.04,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),334818.52,0.0,PROJECT Mandays Supp
07/01/2026,Software Licence Support - off the shelf,202105.27,0.0,SW Lic Sup Off shlf
07/01/2026,Project - Contract Mandays (supplier controlled),94689.79,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),26220.0,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),53768.4,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),72582.16,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),54053.3,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),85050.0,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),48800.0,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),40800.0,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),23400.0,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),45200.0,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),39040.0,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),51800.0,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),63365.25,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),50518.33,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),50435.0,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),187216.5,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),210172.0,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),205489.0,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),194451.0,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),174544.6,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),117675.0,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (HMRC controlled),426075.6,0.0,PROJECT Mandays HMRC
07/01/2026,Project - Contract Mandays (supplier controlled),53123.91,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (HMRC controlled),35650.49,0.0,PROJECT Mandays HMRC
07/01/2026,Project - Contract Mandays (HMRC controlled),94032.0,0.0,PROJECT Mandays HMRC
07/01/2026,Project - Contract Mandays (supplier controlled),227259.54,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),25626.63,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),22210.0,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),22018.4,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),37916.6,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),41196.75,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),29030.06,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),56605.93,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),291404.31,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),71251.86,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),40809.15,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),21203.73,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),21963.2,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),58383.69,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),39887.8,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),98296.38,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),25971.4,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),287754.45,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (HMRC controlled),102060.0,0.0,PROJECT Mandays HMRC
07/01/2026,Project - Contract Mandays (HMRC controlled),102060.0,0.0,PROJECT Mandays HMRC
07/01/2026,Project - Contract Mandays (HMRC controlled),34560.0,0.0,PROJECT Mandays HMRC
07/01/2026,Project - Contract Mandays (HMRC controlled),48000.0,0.0,PROJECT Mandays HMRC
07/01/2026,Project - Contract Mandays (HMRC controlled),111735.6,0.0,PROJECT Mandays HMRC
07/01/2026,Project - Contract Mandays (HMRC controlled),128655.6,0.0,PROJECT Mandays HMRC
07/01/2026,Project - Contract Mandays (HMRC controlled),161974.5,0.0,PROJECT Mandays HMRC
07/01/2026,Project - Contract Mandays (HMRC controlled),218760.0,0.0,PROJECT Mandays HMRC
07/01/2026,Project - Contract Mandays (HMRC controlled),109085.4,0.0,PROJECT Mandays HMRC
07/01/2026,Project - Contract Mandays (supplier controlled),175953.44,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),60837.24,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),50628.61,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),25165.55,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),50387.5,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),25944.93,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (HMRC controlled),108565.2,0.0,PROJECT Mandays HMRC
07/01/2026,Project - Contract Mandays (supplier controlled),59861.13,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),41858.0,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),36798.72,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),27599.04,0.0,PROJECT Mandays Supp
07/01/2026,Project - Contract Mandays (supplier controlled),56292.8,0.0,PROJECT Mandays Supp
07/01/2026,procurement contract,188780.0,0.0,procurement contract
07/01/2026,Project - Contract Mandays (supplier controlled),38265.5,0.0,PROJECT Mandays Supp
07/01/2026,procurement contract,56250.0,0.0,procurement contract
08/01/2026,procurement contract,56250.0,0.0,procurement contract
08/01/2026,procurement contract,56250.0,0.0,procurement contract
08/01/2026,procurement contract,56250.0,0.0,procurement contract
08/01/2026,procurement contract,25000.0,0.0,procurement contract
08/01/2026,procurement contract,184174.69,0.0,procurement contract
08/01/2026,procurement contract,118870.0,0.0,procurement contract
08/01/2026,procurement contract,87386.29,0.0,procurement contract
08/01/2026,Project - Contract Mandays (supplier controlled),108128.8,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),22875.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),-36118.92,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),46605.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),72151.99,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),26887.49,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),78851.21,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),87405.92,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),29739.11,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),35665.78,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),21826.07,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),28826.27,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),120393.79,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),20834.7,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),416250.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),139138.6,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),31057.19,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),78617.5,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),43022.71,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),24650.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),25556.25,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),48245.86,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),23944.35,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),29420.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),26895.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),39115.66,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),40502.75,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),307754.65,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),263865.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),167286.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),351499.51,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),117310.2,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),356069.3,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),21750.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),103709.93,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),67420.84,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),41727.81,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),112168.2,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),61382.8,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),24777.88,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),22373.14,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),32531.98,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),58885.53,0.0,PROJECT Mandays Supp
08/01/2026,Contractor Service,91949.5,0.0,Contin Labor Build
08/01/2026,Project - Contract Mandays (supplier controlled),82670.26,0.0,PROJECT Mandays Supp
